,Post
154,"Get ready to experience the most spectacular musical extravaganza of the year! KIET Group of Institutions presents Epoque@Prastuti2023, its Annual Inter-Institutional Cultural Fest, featuring the Star Night with none other than the exceptionally talented singer, composer, actor, and songwriter, Darshan Raval. Sponsored by Tribe Vibe and SG Enterprises, this event promises to be one of the most significant cultural events of the year.Get mesmerized by Darshan Raval's soulful voice and chart-topping hits as he takes the stage to create magic. This is your chance to witness his captivating performance live!A special thanks to Tribe Vibe and SG Enterprises for their support and sponsorship of this event. Don't miss out on this once-in-a-lifetime experience!Registration Link: https://lnkd.in/dzacSjY7KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106#kiet_group_of_institutions #KIETGZB#kietengineeringcollege #KIET #AKTU #AICTE #DarshanRaval #StarNight #StarPerformance #Epoque_at_Prastuti2023 #Epoque2023 #Prastuti2023 #CulturalFest2023 #CulturalFest #Festival #MediaPartners #NukkadNatak #EpoquePrastuti2023 #Dance #OpenMic #Singing #BandWar #culturalexploration #Kavyanjali #FashionShow #KIETGroupofInstitutions #TopEngineeringCollegesinDelhiNCR#TopEngineeringCollege #TribeVibe  #SGENTERPRISESOFFICIAL TribeVibe Entertainment Pvt. Ltd. @SGEnterprisesOfficial #experience #entertainment #stage"
155,"Google, Microsoft and Amazon laid off more than 70,000 employees last year. More layoffs are underway. Their profits in last quarter (not year, one quarter!) 2022: - Google: 40Bn$- Microsoft: 35Bn$- Amazon: 19.65Bn$ Important lessons if you are aiming for tier-1 jobs: [1] You are either a cost centre or profit centre to your firm. If you bring in 10L a year and get a salary of 8L, you will survive (if you are lucky), else you will not. [2] A good firm is a launchpad to better things. Not, the destination in itself. Don't get too cozy once you make it to the top firm. [3] A firm's cardinal goal is to look after its shareholders. And, your cardinal goal is to look after your career, very similar to how your CEO does. Brutal as it may sound: Team building exercises, dinners/lunches, over-arching visions of how the firm is changing the world are all theatrics that keeps you motivated to contribute to your firm. Nothing more. Don't lose sight of the fact that you are a one person army, who needs to look after your career."
156,"I’m 47. Harry Styles is 29. If we judged musicians like we judge candidates, he’d be out of work and I'd be selling out stadiums.It's time to rethink how we equate years of experience with skill."
157,"Is this the end of the 5-day week? 👀  The results are in and the report tells us that the UK’s four-day week pilot was a huge success! 🎉 Involving 61 companies and around 2,900 workers, this is the world’s largest four-day week trial to date.   Quick facts:🤸‍♂️ 92% of the participating employers are sticking with the four-day week  🤸‍♂️ Company revenue rose by 1.4% on average  🤸‍♂️ 96% of workers prefer the four-day week  🤸‍♂️ Employee stress levels dropped by 39%  🤸‍♂️ Employee burnout rates fell by 71%  🤸‍♂️ 54% of workers felt a reduction in negative emotions"
158,ॐ नमः शिवायःNamaskaran. Adiyogi.Lord Shiva 🙏🏻🙏🏻🌺🔱Om Namah Shivay🔱🌺🙏🏻Har Har Mahadev#india #coimbatore #tamilnadu #tamil #ishafoundation #sadhguru
159,"One of the best pieces of career advice I got in my early career is to “Talk to people”. I used to talk to people at very transactional levels especially when I had a job/an ask in my mind. This made me miss a larger opportunity to know about the problem that person is solving/working on. After getting that advice, I started asking out to people for a coffee chat, without any task in mind. It was super uncomfortable for me to start this. I had doubts/questions like what topic should I discuss, how to build the conversation, am I wasting his/her time, etc. Over a period, I started enjoying these conversations. It eventually became my habit. Lots of my learnings and exposure came from these casual chats. I got opportunities to work with a few great teams I never thought about. I identified use cases that I never believed existed. A few discussions stretched from 20 minutes to 1 hour and eventually became a lifelong connection.I felt like those discussions gave me more learning than reading a book. One simple thing that took me so long to understand. Now, I prefer taking an average course with great people to another way around. Talking to good people opens up far more opportunities than you believe. It’s a simple process: Discuss, experiment, reflect and repeat. Just keep exploring.#ExperienceFromTheField"
160,"Get ready to be a part of Epoque@Prastuti2023, KIET Group of Institutions' Annual Inter-Institutional Cultural Fest, with the electrifying Start Night featuring the talented Darshan Raval! This event promises to be a night of non-stop entertainment, with a special performance by Darshan Raval, who will leave you awestruck with his mesmerizing voice and captivating stage presence.https://lnkd.in/dJhATrvcJoin us for a night filled with music, dance, and fun as we set the tone for an unforgettable cultural fest. https://lnkd.in/dJhATrvc#kiet_group_of_institutions #KIETGZB#kietengineeringcollege #KIET #AKTU #AICTE #DarshanRaval #StarNight #StarPerformance #Epoque_at_Prastuti2023 #Epoque2023 #Prastuti2023 #CulturalFest2023 #CulturalFest #Festival #NukkadNatak #EpoquePrastuti2023 #Dance #OpenMic #Singing #BandWar #culturalexploration #Kavyanjali #FashionShow #KIETGroupofInstitutions #TopEngineeringCollegesinDelhiNCR#TopEngineeringCollege"
162,"So Hera Pheri 3 is finally happening! Look forward to being back on set with Pareshji & Akki. Like all good things, this one took some time, but it’s a relief to finally have an answer to this question! #Films are such a huge part of our culture, and yet, not many understand what goes into making a film. Apart from creative challenges, the #businessmodel & needs of the #movie business make it as challenging as any other.There are several factors for any business to succeed - a good idea, thorough market research, a solid business plan, a skilled team, funding at the right time & a strong distribution network.The movie business isn’t very different. To explain the entirety of the movie business here would be over simplifying it. But let's just say having a good script, a set of actors & a director is literally just the start point.There’s the #financing of a movie. It's usually #studios or #productionhouses, which invest their own #capital. Their teams assess the viability of a project before deciding on the budget.Some large films are financed through pre-sales and distribution deals, in which the distribution rights for the film are sold in advance to distributors and/or streaming platforms.Like the startup world, access to financing depends on the size of the film, as well as the connections & resources available to the producers & investors involved.Another key aspect in the movie business is #distribution. It’s a complex process that involves several layers like producers, distributors & exhibitors.Once a film’s made, a studio typically either sells the distribution rights to a distributor or appoints one on a commission basis, who is then responsible for securing screens from theatre owners, negotiating terms & releasing the film in theatres. Sometimes distributors negotiate a % of the box office collections.There are several other ways to monetise films.#BoxOffice collections, domestic & international, are the primary ones. Success depends on various factors, including the star cast, genre, music & the buzz created.Then come the #TV (satellite) & #OTT (digital) rights, which are a significant % of overall revenue. These deals can be fairly structured at times. Recently these values shot through the roof, but have become more rational off late.#MusicRights are another important source of revenue. Usually sold to a #musiclabel who in turn monetise it through channels like streaming, licensing, digital ad revenues etc.Many films also tie-up with #brands for in-film placements or co-marketing activities, as an additional layer of revenue, or sometimes to offset part of the pre release marketing expenses.There are so many other aspects that make the movie business challenging - audience preferences, data & insights, IP rights & licences, pre & post production, line production, permissions, promotions, pricing etc etc33 years & 125 films later I don’t have it all figured out, but I will keep getting better at it 🙏"
163,"Bhagwan Vishnu Ji is sleeping in a very calm manner in the deep forest of Bandhavgarh National Park, Madhya Pradesh. This 1000+ years old reclining Vishnu Ji’s Murti is 12m long & carved out of single rock.The Head of Vishnu Ji is facing east and the legs are on west with a stream of natural water gushing out is known as Bandhavgarh’s life line river “Charan-Ganga”.|| Om Namo Bhagavate Vasudevaya ||"
164,"With MagiScan, you can scan objects of various sizes and shapes, from small toys to large furniture pieces. The app automatically processes the scan data and generates an accurate 3D model. You can then export the model in the format of your choice.Overall, MagiScan is a must-have tool for anyone who wants to capture real-life objects in 3D. Whether you're an artist looking to bring your designs to life, or an engineer looking to create prototypes, MagiScan provides a fast, easy, and affordable solution.https://lnkd.in/dM9cKSki"
165,"If you’re looking for that perfect opportunity to make it big, your search ends right here - Join our career-changing Data Analyst Masters Program in collaboration with IBM- 20+ Hands-on Projects,- Industry-recognized Certificate- live classes by top Data expertsTurn things around - take a stand for your career."
166,"I’ve applied to over 1850 job postings in the last 20 months..3 interviews, zero offers, and countless rejections. Sometimes being #opentowork is one of the most mentally draining experiences, but I’m not giving up!I am #opentowork  for a Software Engineer, Full Stack Developer or Front End Developer position and would love any help, even if it’s just sharing this post!Let’s connect! 😊#help #opentowork  #sharethispost  #unemployment #softwareengineer #frontenddeveloper #fullstackdeveloper #javadeveloper # #jobpostings #developer #fresherjobs #seeking #webdevelopment"
167,Bangalore folks crying in the corner :') #bangalore #delhi #mumbai #holi #holiday
168,It’s time to retire Password123. 😉
169,"🚀 Data Science Internship opportunity.Data Science Intern at FutureSmart AIAre you a data science student interested in the latest AI tools and technologies? We're currently seeking data science interns to join our team at AI DemosAs a data science intern for AI Demos, you'll have the opportunity to explore the latest AI tools and technologies, create demos to showcase their capabilities and understand the technology behind them and work on building simple replicas of some of the tools.You'll also have the opportunity to write blog articles to help educate and inform our audience about the potential of AI technology.1. Full-time or Part-time Remote Internship.2. Stipend 15000-25000 Rs. per MonthApply Here:"
170,Get 16 years of support 🛡 🛠 ⛑ for AlmaLinux from the team that helped build it! AlmaCare offers painless compliance and pay-as-you-go support >>
171,"Hello Everyone !!     I am glad to share that, I have received  an internship offer letter from #InternPE. I would like to thank #InternPe for giving me this opportunity. #internship #InternPe #intern2023 #intern #share"
172,"79% of consumers are making purchases directly from their mobile devices, and younger consumers are the most likely to buy while they scroll. (Square)#polloftheweek #socialcommerce #retail"
174,Why are we still doing these?
175,"I just returned from my visit to India, and I can’t wait to go back again. I love visiting India because every trip is an incredible opportunity to learn: https://lnkd.in/gKS6hSh5"
176,This is such an Exciting news!!!!!!Adobe is expanding its presence in India with a brand new office in Bangalore! #adobe #adobeforall #newoffice #bangalore #india #panditaspeaks
177,Do you have an app that reminds you to drink water? Did you call your loved ones to let them know that they must stay hydrated What if all our water is soaked in human faeces and filthy plastic hard to imagine? Yet Its a reality Visit http://saytrees.org/lake or write us at info@saytrees.org to change this narrative.
178,"There's some exciting news! I am thrilled to announce that I've started to work in a new position as Global Head for Marketing Research and Analytics for UST, and I would like to thank everyone involved in my hiring process for giving me this opportunity. It wouldn't have been possible without the support of my colleagues. This is a great opportunity to expand my skills and grow my career. I want to thank all of my connections for their support during my job search. I am very excited to dive into this new journey headfirst, ready to learn and grow!!"
179,"It feels great to be part of #dbschenker & even better when you get recognised for your work & the time that one invest. To me, the ‘Best Team Player’ of 2022. Cheers!"
180,"Last week we crossed 5 Million Subscribers on the BeerBicpes YouTube channel. My hypothesis is:My Hindi channel will overtake my English Channel soon and grow to 10 million subs faster than many expect.And it is indeed a strange time,A grown 29-year-old is dressing like a teenager.And teenagers watching heavy-duty podcasts on geopolitics, spiritualism, neuroscience, and relationship psychology.THANK YOU MOM, THANK YOU ABHIJEET CHAVDA, THANK YOU HANUMAN JI.See my Hindi podcast also. Hindi YT channel is closing in on 5 million.#milestone #beerbiceps"
181,"We bring to you Money Matters for Her – Season 2, an inspirational series with remarkable women! Our first guest is someone who's origin story began from Nashik and took her all the way to maximum city Mumbai. Divya is a writer, a company secretary and a distinguished board member.Watch her share her story, in conversation with host Naila Patel.Visit bit.ly/3T1aO0T to watch full episode#MoneyMattersForHer #MutualFundsSahiHai Divya Momaya"
182,#mssp #cloudsecurity #cybersecurity #infosec #phishing #securityawareness
183,Thank you #itbberlin and #cbs.#oraclehosp
184,"Shri Kedarnath is amongst the holiest pilgrimages for the devout Hindus. It is set amidst the stunning mountain scape of the Garhwal Himalayas at the head of the Mandakini River. Kedar is another name of Lord Shiva, the protector and the destroyer.The Shivalingam at Shri Kedarnath temple is pyramid shaped and hence is unique among Shiva temples. In the Mahabharat war of 4000 BC, the finest flower of chivalry and heroism perished in the flames of war in a matter of eighteen days. Pandavas were guilty of over drive. They had no honour left and were having nightmares during sleep. It was Lord Krishna himself who advised them to seek the blessing of Lord Shiva. By getting Darshan of the form of light, the Pandavas were absolved of their sins.Bhima had fought with bull form of Shiva with maces, so he was struck with remorse. He massaged Shivas body with ghee. In memory of this event, Shivalingam at Kedarnath Ji is massaged with ghee even today. It's mentioned in scriptures that by visiting Shri Kedarnath Ji , sorrows do not come even in dreams.""Person may leave all his sins having journey to Kedarnath"". ~ Vyas Smriti.""The person get Shivloka by leaving his body (dead), being Mahaprasthana yatra that is joumey to Kedaraanchal"". ~ Shantiparva.""After taking bath in Kedarkhand and visiting Kedarnath temple in Krishnapaksha on chaturdashi, devotee get rid of all of their sins and get Swarga."" ~ Vana Purana.""Person will get Rudraloka having darshan of Kedar and bathing in Himalaya teertha."" ~ Kurma Purana.""Kedareshwar linga is situated at Himalayas which is one of the 12 Jyotirlinga of Lord Shiva. After visiting Kedareshwar Linga, devotees get rid of all their sins."" ~ Shiva Maha Purana.""Pandavas had asked Vyas ji for remedy for their sins which happened due to Gau hatya and Guru Hatya during the war of Mahabharat. Vyas ji told them to visit Kedarnath to get prayaschit"". ~ Skanda Purana.#india #kedarnath #sanatandharma #himalayas"
185,"Congratulations Team Folkia from KIET Group of Institutions for claiming the Winner's Trophy in Group Singing Competition at Epoque@Prastuti'23. We are so proud of you!We would also like to thank Mr. Ashutosh Chandra, Young Blood and Goonj Vocalist and Ms. Angelica Medhi, Mrs. Body Beautiful from Mrs. Delhi NCR 2022, for joining us as our esteemed judges for the event. Your presence was truly an inspiration for the participants!KIET Group of Institutions, Delhi NCRWebsite: www.kiet.edu | Toll-Free: 1800-1200-106 #kiet_group_of_institutions #KIETGZB #kietengineeringcollege #KIET #AKTU #AICTE #TopEngineeringCollege #student #KIETGroupofInstitutions #TopEngineeringCollegesinDelhiNCR #BestEngineeringCollegesinDelhiNCR #Winners #Felicitation #Epoque_at_Prastuti2023 #CulturalFest2023 #CulturalFest #EpoqueAtPrastuti2023 #Epoque2023 #Skit #Singing #Competition #MsAngelicaMedhi #AshutoshChandra #Judges #Vocal #Winner"
186,Gender equality in the workplace has been one of our priority areas and we take pride in being an equal opportunity provider through our initiatives. Here’s to immensely talented women of Amazon who are making an impact through their efforts & innovations. #SheIsAmazon #AmazonIndia #AmazonWoman #InternationalWomensDay #Equality #WomenEntrepreneurs #WomenEmpowerment #WomensDay2023
187,"There’s a much easier way to get your Amazon news. Subscribe to our newsletter for the latest news, and original stories about Amazon delivered to you ⬇ https://lnkd.in/gJk2hBjH"
188,"I am truly grateful to receive yet another spot award at work for the year! Receiving this award is a testament to our combined efforts, and I couldn’t be prouder to be a part of such a dynamic and successful workplace.I am committed to continuing to deliver outstanding results and excellence in the future. #hashedin #deloitteusi #SpotAward #WorkplaceExcellence #TeamWork"
189,"We are looking for UIUX design interns to assist us in designing the prototype of OzigenAt the moment, we're preparing for our early-stage fundraising and showcasing our prototype is critical to winning the trust of investors. You will be designing the website prototype (V1 on Figma) of our social learning platform Ozigen which is a marketplace where creators(teachers) can come and list themselves and have their own personal microsite filled with information about them, their services and their resources enabling learners to find and connect with the creators they love learning from.Primary work :In this 2 month period you will be working on building;1. Creator’s microsite2. Creator’s dashboard 3. Learner’s dashboardRefer the attached google doc to learn more about our internship. https://lnkd.in/dbhdBSt6If you want to use your design skills to build a learning platform that you wished existed as a student, then let’s talk.Comment your email ID in this post and our team will get in touch with you. #internship #UIUXinternship #internship2022 #startup #hiring #experience #growth #opportunity #UIUX #UIintern #UXintern #UIUX #UI #UX #team #internship #intern #UIUX #career ##UIUXinternship #internships #education #jobsearch #hiring #jobs #internshipprogram #student #design #college #interns #students #training #resume  #internshipopportunity #workfromhome #summerinternship #interview #opportunity #recruitment #work #business #marketing #startup #experienceTanvi MittalSmita ChauhanTreasa JanetMayank Kumar GolaNupur SharmaKeyur PadiyaHarisankar KNAMAN SHARMAAnuroop Kothamasujayavardhan reddy enumula"
191,Lock in your answers for our #fridaypoll and tell us why in the comments below!
193,Make 2023 your greenest year yet. #ATUMLife is your one-stop Sustainable Experience Centre where you will find certified #ecofriendly products from across categories and brands to help you start your #sustainable journey. Visit us today! #shoplocal #organic
194,"We had a productive time at #MWC23 in Barcelona last week, where we met with many industry leaders and experts. From the opening up of network #APIs to early conversations around #6G, there was plenty to discuss. We want to share five key shifts that we observed during MWC 2023.#InfosysAtMWC | #MWCBarcelona"
195,"Our new #AI research center in Tübingen, Germany's 'Cyber Valley', is officially open, with over 70 employees working on artificial intelligence, computer vision and causality.If you're in the area, come visit - the ground floor is open to the public and will soon host a café, inviting the community from neighbouring research institutions to gather. 🫱‍🫲For more updates from the center, visit aboutamazon.de."
196,Selenium Test Example - testRigor AI-Based Automated Testing Tool https://hubs.la/Q01FsbLh0#testing #automatedtesting #selenium
198,"When you choose to come out from the hangover of a longggg holiday week, do it by having your corporate buddy aside! Happy Monday. #mondaymood #lifeatappinventiv #appinventiv"
199,"In honor of #WomensHistoryMonth and #IWD2023, we’re reflecting on the work our community is doing to improve the financial health of women, particularly our more than $100M commitment to advancing gender equity. As part of this commitment, PayPal employees from across 22 countries pledged to provide more than 10,000 hours of capacity-building and skill-based volunteer services to charities advancing gender equality by 2026. Thanks to PayPal employees’ energy and passion, we have already surpassed this 10,000-hour goal in only two years. Learn more about our ongoing gender equity commitments here: https://bit.ly/3l4ZHr8"
201,"Challenges such as disparate processes and multiple portals are diminishing #CustomerExperiences. Watch business leaders from Johnson Controls and Infosys featured in a webcast on CIO Online talk about their partnership on navigating through these challenges and launching an Enhanced, Mobile-First Solution Navigator Platform for their channel partners. Watch the entire webcast here: infy.com/3T4gmaW#InfosysCobalt #InfySalesforcePractice #InfosysManufacturing Renee Joseph Monte Nuckols Vijay Narayan David Rivas Fluido Simplus"
202,Happy International Women’s Day 🙌! Define what’s possible and be the catalyst that makes the world work better.  👉 https://ibm.co/3L2FNHSIBM #WomensHistoryMonth #IWD2023 #IWD23
203,How can I even begin to explain how important this is? Having a Mexican woman in STEM as a Barbie is such a monumental step forward for all girls and women. Let’s continue to create representation for ALL women!Thank you Barbie for inviting me to be a part of the Role Models campaign!#TuPuedesSerloqueQuierasSer
204,"Hey everyone! Our team recently went back to Japan for a business visit and one of our members had his first-ever Japanese adventure. 😍 Check out his experience at Asakusa, the cultural gem in Tokyo!✨On a beautiful sunny morning in January, he reached Asakusa station and the spectacular Tokyo Skytree welcomed him on one side, and his destination, Sensouji on the other. 🏯 The Kaminarimon (meaning Thunder Gate 🌩️) was his first stop, with an impressive red lantern and the character 雷(Thunder) written on it! It was awe-inspiring! 😲As he passed through Kaminarimon, Nakamise dori street greeted him with Japanese sweets, souvenirs, and fun shops. He couldn't resist the yummy Mitarashi Dango 🍡 and strawberry candy, and even bought an umbrella with a katana's hilt as the handle. 🌂😂The main temple was a serene experience, and he passed through the incense smoke, which is believed to ward off evil and bring good luck. 🙏 He even got a good fortune slip (吉, yay!) and an omamori before enjoying lunch with his friends. 😋The chilly weather didn't stop him from renting a Kimono and walking through Nakamise dori again! 😍 The Gojunoto (five-storied Pagoda), bronze Buddha statue, koi fishes in the pond, and of course, Kaminarimon, all looked marvelous from his Kimono! It was a memorable experience and he's been carrying his omikuji and omamori with him ever since! 🤞🍀Ravind Singam Samson Samuel Murugan CL Kumaresh Swaminathan#securityconsulting #cybersecurity #businesstravel #siem #cloudsecurity #infosec #japan #team #positka #experience"
206,"Sohyun Kim, Solution Account Manager, shares why she joined Adobe and what drives her to help our customers. Interested in joining the team? Join our Talent Community to keep up to date: https://lnkd.in/gmUW933b#adobelife #womenhistorymonth #adobeforall"
207,"It has been a blast! How amazing to meet customers, partners and friends! Great to be back and having F2F conversations. #itb #oracle #oraclehosp #oraclehospcommunity #itbberlin"
208,Find out why organizations around the world are putting their trust in our cloud: https://lnkd.in/ejh5GDvT #Earnings
210,Onwards and Upwards. Always.#HappyWomensDay #EmbraceEquity..P.S. Featuring TCSers
211,"Jaya teja Kalla, a Computer Vision intern at Sony Research India shares some snippets about himself. If you want to be a Sony Research India intern, apply to the position that is the best fit for you : https://bit.ly/3QVruFw #SonyResearchIndia #SonyWOW #Internships #Intern #Sony"
212,"We are honored to have Adobe leaders Hannah Elsakr and Toni Vanwinkle featured by Women We Admire in their Top 50 Women Leaders of San Francisco for 2023. Toni Vanwinkle is our Vice President of Digital Workplace Experience, while Hannah Elsakr leads Corporate Development, Direct Investing and M&A at Adobe. Click the link to learn more about the amazing women they featured:https://lnkd.in/gh_TSfZr"
213,We’re off to the races! 🏁 Good luck this season Red Bull Racing & Red Bull Technology! https://lnkd.in/ewXi_225
214,"👨‍💻 Attention all Web Developers! 👩‍💻📗 Ready to showcase your coding skills and work on exciting projects?📍 Ozibook is looking for an exceptional Website Developer Intern to join our team!As a part of the Ozibook team, you will be responsible for:👉 Creating visually stunning websites and applications that seamlessly transition across devices.👉 Developing wireframes and mockups to bring web pages to life.👉 Staying up-to-date with the latest design trends and collaborating with developers to maintain high standards of design excellence.Curious to learn more about the internship and responsibilities? Check out the Google doc:https://lnkd.in/dhBBDnYq🎊 We offer amazing perks including:💰 Monthly stipend of Rs. 1000.📜 Internship completion certificate.💼 Performance-based letter of recommendation.🎓🌅🚀 Don't miss the chance to shape the future of education with us! 💡📍 Drop your email in the comments, and our team will get back to you shortly!#internship #hiringinterns #websitedeveloperinternship #startup #campushiring #placementcells #education #hiring Tanvi MittalSmita ChauhanTreasa JanetMayank Kumar GolaNupur SharmaKeyur PadiyaHarisankar KNAMAN SHARMAAnuroop Kothamasujayavardhan reddy enumula"
216,No pro-editor experience necessary. The possibilities are endless (and simple) with Photoshop.
217,"We’re the pillars of change, people like you and me. #InfyLife #ForwardWithInfosys"
218,"To make cities more sustainable and liveable, discussion about the concept of ”15-minute city” has intensified. And this popular concept has even become subject of some conspiracy theories. This article nicely breaks down the concept of ”15-minute city” and explores the complexities of recent theories related to this popular idea.#15minutecity #cities #urbanplanning #sustainability #mobility #urbanmobility #smartcities #liveablecities"
219,Happy International Women’s Day! Feeling so fortunate to work with such a talented group today and everyday. #microsoftlifecc Reba Michelle Jess Scarlett Marivi Molly Victòria Erin
220,#HappyHoli2023 #QuantafiDigital
221,💻 Want to do 2 Month Work from Home Internship?👥 Have you got what it takes to find the right talent and retain them?📍 Ozibook is hiring Human Resources Officer. 📄 As a Human Resources Officer intern you will be responsible for:👉🏻Strategize to get more applicants👉🏻Shortlisting interns and scheduling interview with them  Refer to the below attached document to learn more about the internship and the responsibilities you will be undertaking: https://lnkd.in/dbhdBSt6 💡If you want to build a better future by bringing about a change in education then do apply. 🎊 Perks:✅ Stipend: Rs. 1000 per month.✅ Internship Completion Certificate.✅ Letter of Recommendation (Performance based). 📩 Comment your mail ID and our team will reach out to you. #internship #hiringinterns #humanresourceinternship #startuphiring #startup #campushiring #placementcells #education #humanresource #hiring Tanvi MittalJay EnumulaAnuroop Kothamasu Rithesh Darish OzibookOzigen
222,Let's begin our 150-day musical journey from the enchanting Braj with Damodar Sharma and be prepared to be captivated by his various beautiful Rasiyas and Krishna Leelas.#anahad #supportartists #ngo #charity #uttarpradesh #ganga #folk #folkmusic #IndianFolkMusic #FolkSongs #FolkDance #dance #TraditionalMusic #bhojpuri #FolkMusician #hindi #India #festival #instrument #FolkRevival #music #indianmusic #musiciansofinstagram #musiclover #explore #holi #food #travel #art #culture
223,"Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connections, advice, or opportunities you can offer. #OpenToWork"
225,"Dear folks,Don't give unnecessary gyan. Some people are here for a job, not for your gyan. They need your help, not your gyan.#job #people #socailmedia #misuse"
226,The pathways to success as a #WomaninTech will shine the light on organizations that are bringing the change and not waiting for it. Our moderators Shelly Ashwill and Mark Tina - M.B.A. will have a spirited discussion with two great organizations guiding women on their career journeys in tech. You'll hear from Break Through Tech and Girls in Tech as well as two women on their pathway to success in tech.
227,"""I believe it’s my job to share women’s truths in all their beauty and agony.""  Screenwriter Miciana Alise shares with our VP of Marketing Strategy & Chief Communications, Stacy Martinet, in our International Women's Day feature on a group of creatives who are creating equitable change by breaking barriers. Read about the incredible women blazing trails in the creative world here: https://adobe.ly/3T2xvBNPortraits by Maia Faddoul"
228,"Let's celebrate International Women's Day!We at IBM engage with and learn from women and male allies from around the globe. IBM has historically always been leading the way with inspiring and strong women - we had a strong generation of women scientists joining IBM Research in the 1950s or Ginni Rometty as IBM’s first female CEO in 2012. And - we are having thousands of inspirational female IBMers in our team today.On this #IWD, take a minute to read the IBM IBV's latest report on ‘Women in Leadership: Perception is Not Reality’. A great piece of work, led by Kelly Chambliss, Paul Papas, Carla Grant Pickens (she/her),  Nickle LaMoreaux, Salima Lin, Joanne Wright and many more: #genderparity parity seems close, but our research shows it is decades away. #unconsciousbias continues to dominate the workplace, making it increasingly difficult to attract and retain top #femaletalent. Leading organizations in our study take concrete steps and see business benefit — 19% higher revenue growth, improved employee retention, and better overall workforce diversity. Press release: https://lnkd.in/dSP7MH2t. Report: https://lnkd.in/dFxaStQe And a quick shoutout to only some of the fantastic women I know, who have been an inspiration for me in recent years: Ana Paula De Jesus Assis, Agnes Heftberger, Lula Mohanty, Susan Wedge, Helle Valentin, Angela Spatharou, Tionna Michelle Prescott, Isabel Gomez Cagigas, Catherine McCourt, Nicole Enstone, Nicole Reimer, Gabriele Schwarenthorer, Kenza Ait Si Abbou, Kate Woolley, Petra Justenhoven, Maren Hauptmann, Katja van Doren, Dr. Julia Sperling-Magro, Catrin Hinkel, Sandra Babylon, Susanne J. Mathony#EmbraceEquityForAll"
229,"We’re teaming up with KPMG to launch a new global community for women working in #finance and #supplychain! Join us live to learn how it can help you network with peers, discover relevant research, participate in events with inspiring leaders, and learn tips for career growth."
230,"March is “Women’s History Month” and It was an absolute joy attending the California Conference for Women.If I have to summarize my key learnings from the great list of speakers Constance Wu, Shawn Anchor, Misty Copeland, Noami Osaka, Gabby Rivera, Charlene Li, Megan Fanale, Paola Wisner and the multiple breakthrough sessions:1. Fear - (of) doing nothing and unknown can hold us back into situations that are not ideal for our growth. 2. Building mental agility - We are not supposed to be perfect but we need that agility to go forward. 3. Investing in yourself- Your greatest relationship will be with yourself so invest emotionally, physically and financially for your growth.4. Have fun! - Be proud of all that you have accomplished- Be (who you want to be) Do (the work) Have (the outcome). It was not all pixie dust and unicorn and rainbows, we have made sacrifices and put in the work to be here, to #celebratetogether  us, #womenhistorymonth #growth #investing #work #google #building #womenintechnology #programmanagement #diversityinclusionequity #inclusion #stem #womenhistorymonth #womenofcolor #deiGoogle California Conference for Women"
232,"Empowerment starts with small steps. This Women's Day, we're proud to announce our collaboration with PadCare, the world's first sanitary pads recycling startup. At Appinventiv, we believe in promoting sustainability and empowering women in all aspects of life. PadCare a Shark Tank's highly appreciated startup with the world's first sanitary pads recycling technology, is recycling 120lacs pads annually.With PadCare, we're stepping towards creating a better and more sustainable future for women. Together, we're working towards a world where every woman can access a safe and hygienic menstrual journey while contributing to a cleaner planet. Happy Women's Day!#padcare #padcare #sharktank #womenday #appinventiv"
233,Attended Azure Open Source Day at Microsoft ❤️ #opensource #microsoft #azure #noida
237,No one's path is a straight line (s/o Alexis K. Fernandez)
239,I’m happy to share that I’ve completed my Advanced Full Stack web development Nanodegree at Udacity! #FutureWorkisDigital #Itida #webdevelopment #freelancing #fwd #udacity #egfwd #UdacityNanodegreeProgramGraduate #UdacityNanodegree
240,"As supercomputing reaches new performance milestones, we'll uncover solutions for the world’s toughest problems.  Here are four ways that the most powerful computer will drive humankind forward:https://hpe.to/60483FFMe#SXSW #Exascale"
243,The Sony Research India Rewards and Recognition night was a celebration of each and every member of the team for their outstanding work and collaborative efforts that have led to a year of achievements.Here's to achieving bigger things driven by our commitment to make a difference and our deeply rooted values as an organization!Congratulations to the Sony Research India family!
244,"Once completed, this 540,000-square-meter plant, located in Singapore, will have an initial treatment capacity of 800,000 cubic meters per day, the equivalent of 320 Olympic-sized swimming pools of water.Jacobs and PUB, Singapore's National Water Agency, developed a project whose scale and complexity show the power of going digital – the design and construction of Singapore’s Tuas Water Reclamation Plant. Nicholas Cumins, Bentley's COO, highlights how this winning project from the 2022 Year in Infrastructure and Going Digital Awards will ensure the supply of clean water supply for the country.Nominations for the 2023 Going Digital Awards in Infrastructure are now open. Learn more about nominating your project: https://bit.ly/3mMoSiH#waterinfrastructure #innovation"
245,"Three web creators shared their best tips for domain success. Learn how focusing on speed, utilizing the “rule of three,” and finding a unique domain name (in this case, .dev and .app domains provided by Google Registry) can help you find success → https://goo.gle/3IMPo4f"
