,Post
118,"L'industrie du jeu vidéo vient de vivre une semaine dont on se souviendra longtemps... Tout ce que tu dois savoir des récentes actualités à ne pas manquer 👇🎨 Epic Games repousse les limites de Fortnite avec l'Unreal Editor. Cette intégration permet désormais aux joueurs de créer des expériences plus immersives et personnalisées qu'auparavant, renforçant la position de Fortnite comme plateforme créative. Maximiser l'interopérabilité entre les moteurs de rendu et proposer un meilleur partage de revenus avec les créateurs semblent être au cœur de ce nouveau dispositif, qui pourrait bien bouleverser la ""creator economy"". 🔫 Après des semaines de teasing, Valve corporation ""surprend"" avec l'annonce de CS 2 prévu pour cet été ! Le ""CS:GO killer"" fait déjà parler de lui, et les retours semblent unanimes : la communauté attend de pied ferme cette mise à jour. Preuve à l'appui : l'annonce a permis à la licence de battre son record de joueurs simultanés sur Steam, avec un pic atteignant 1 519 457 joueurs. 📉 Selon le SELL - Syndicat des Éditeurs de Logiciels de Loisirs, le marché français du jeu vidéo connaît une baisse de son chiffre d'affaires en 2022, avec 5,5 milliards d'euros (-1.6% par rapport à 2021). Cette baisse s'explique notamment par la crise économique que nous rencontrons actuellement, ou encore la pénurie de composants impactant sensiblement les ventes de consoles et autres périphériques. Une baisse relative, qui permet surtout de souligner la résilience de l'industrie en ces temps compliqués. 🌐 CCP Games, développeur du célèbre jeu EVE Online, sécurise 40 M$ de financement pour développer un nouveau jeu basé sur la technologie Web3. Ce financement soutiendra la création d'un MMO de science-fiction décentralisé. La technologie permettra aux joueurs de posséder et de monétiser leurs biens virtuels.🍿 Netflix étoffe son offre de jeux vidéo avec 40 nouveaux titres à venir pour 2023, dont des exclusivités Ubisoft ! Une stratégie ambitieuse pour la plateforme de streaming, qui souhaite se positionner comme un leader dans l'industrie du jeu vidéo dans les prochaines années.📉 L'action FaZe Clan connaît une chute ""embarrassante"", avec des performances boursières décevantes qui font parler d'elle, et par ricochet, du secteur de l'esport. L'équipe américaine pourrait bientôt être délistée du Nasdaq... 🎮 Le jeu MultiVersus encore sous le feu des projecteurs ! Ses joueurs réclament un remboursement sur les achats in-game après avoir appris la fermeture prochaine de la bêta. Les développeurs travaillent sur des mises à jour et prévoient un lancement officiel courant 2024, mais cela n'a pas suffi à calmer la frustration de la communauté qui attendait beaucoup de ce titre, qui, pour rappel, a perdu plus de 90% de sa player-base depuis ses premiers jours._ _ _ Dis-moi ce que tu penses de tout ça en commentaire 👇Tu ne veux rien manquer de l'actualité forte du jeu vidéo ? 🎮Abonne-toi et active la 🔔 sur mon profil 😉#gaming"
119,"What's the secret sauce to protecting data from cyber threats? 🔒 Bobby Ford, CSO at HPE, offers a glimpse at the 2023 HPE Cybersecurity Report and how HPE prioritizes security to help keep your data safe. https://hpe.to/6049OyDyX"
120,"Scammers may be becoming more sophisticated, but Career Coach, Sakshi Chandraakar 💎 , knows how to keep your job search safe. 💼⬇️"
121,"Hello connections,I have completed Task-2 of Level-1 as a Wed Development and Designing Intern at Oasis Infobyte #oasisinfobyteLevel 1 -Wed Development and DesigningTask 2 : PortfolioIDE: Visual Studio CodeLanguages used: HTML, CSSYou can find code for this in below link-GitHub Repository: https://lnkd.in/dTcHnFF2#github #development #intern #oasisinfobyte #oasis #oasisinfobyte"
122,"Hi everyone - I am looking for a new role and would appreciate your support. Thank you in advance for any connections, advice, or opportunities you can offer. #OpenToWork #businessanalyst # #opportunities #gurugram #delhincr #immediatejoiner #presales #postsales"
123,"Meet the cast of characters that make up the corporate department! Behold the ingenious marketing mavens, the dynamic HR dynamos, and so much more! Each brings their own special sauce to the mix.So, what's the perfect match for these stellar performers? Let's delve deep and find out!#corporatelife #corporatedepartment #corporateworld"
124,"AI & ChatGPT will build websites too ? 🤯🔥As a business owner, building a custom website can be a very hard task that requires a lot of time & resources.However, there is an AI website builder which makes this process a cake walk.With 10Web.io AI Website Builder, business owners & creators can get a jumpstart on website creation while also saving a lot of time and money.ChatGPT can help you generate right content for SEO.The process of creating a website with the AI Website Builder is simple :👉🏻First, users answer a few simple questions about their business. 👉🏻Then, the AI generates a website with tailored content and images based on their answers. 👉🏻Users can then customize the content and images and add more pages to complete their website. Agencies can also use the AI Website Builder to build websites much faster than they would traditionally and convert any non-WordPress websites to WordPress in minutes.10Web AI Website Builder comes with the ease of building, designing, and publishing custom AI websites in minutes, with AI-generated content and images that require minimal work. Users can easily edit and fully customize the website, and see the full website for free before making any decisive actions.With an easy-to-navigate dashboard and user-friendly and intuitive editor, users can save time, money, and resources on website building. The AI Website Builder also offers the best AI solutions integrated in one place, making it a convenient and efficient choice for SMB owners and agencies alike.Overall, 10Web AI Website Builder offers an excellent solution for those looking to create a custom website quickly and easily while also saving time and money.Also checkout the first comment there is a surprise for you! #website #business #wordpress #ai"
125,"Anticipation is building for tomorrow's big announcement! 📣 Click the link and save the date, we're going live on April 4, at 12:00PM CT, as we take another big step forward with HPE GreenLake for #HPEStorage. 👉 https://hpe.to/6047O1NJP"
126,New research in collaboration with QC Ware Corp. shows how quantum computing could pave the way for increased risk mitigation capabilities in financial services.
127,"Hey, Connections!!I'm glad to share that I have completed one month as a Frontend React developer Intern at Invsto .Looking forward to contributing more valuable work to this.#workmilestone #react #developer #intern #frontend #work"
128,"Chatbots are the future of customer service, but are they right for your business?As you dive in , Our Appinventiv experts break down the pros and cons of developing chatbot solutions.Know it all and head on to our ultimate guide on chatbot development -https://bit.ly/3Kg9JhL#chatbot #chatbotdevelopment #customerservice"
129,"#freelance #mathematics #education #edtech #brandpromotion Hey folks, can you solve this?"
130,"It’s Celebrate Diversity Month at Verizon, so we’re thinking about what makes our network an empowering place for all. For Seretta Browne, it’s our employee resource groups. She believes these communities are an engine for enlivening ⚡ and enriching 🤝 our culture and bringing us closer. Because when we’re UNITED, it’s a small world. More on our welcoming workplace: https://vz.to/3QppV2z"
131,"Stacey Friedman, general counsel at JPMorgan Chase, is a trusted advisor committed to all of the firm’s stakeholders—customers, employees, investors and more."
132,"Wipro is excited to elevate Badri Srinivasan to Business Head for India and Southeast Asia.In this new role, Badri will continue to strengthen Wipro’s engagement and performance throughout the regions, enhancing client experiences and scaling Wipro’s capabilities.Read more: https://bit.ly/3G5WfE1#WiproAPMEA #OneWipro #AmbitionsRealized"
133,I’m happy to share that I’m starting a new position as Sde 2 at Tekion Corp!
134,Freshers & Experience..Have A Look!#opportunityseeker #freshersjobs #experiencedjobs Thripura K Please Share It.
135,"Is Peyush Bansal of Lenskart.com the Tony Hsieh of India?Obviously he (and his company) gets something fundamental about winning at customer service that many other companies (incumbents & startups) still don't.What is it that they get? Let's find out!#startups #entrepreneurship #customer PS: Yes, I used ""incredible"" once every 26 seconds on average 😜"
136,"Tania turned to Facebook Marketplace during the pandemic to ease her anxiety. She found a pre-loved dollhouse and redecorated it, discovering a love for miniature crafting and a community she didn’t know she needed. Tania continues to restore and sell miniatures on Facebook Marketplace, turning her pandemic passion project into economic success."
137,"At Adobe, the sky really is the limit for women. Ingrid van Uden shares a little bit about her career path and how she is helping to champion women in tech.https://lnkd.in/e_tDQQwJ#AdobeLife #Adobeforall"
138,"Chris had been dancing competitively and professionally for years. Then one day in college, he took a coding class. https://lnkd.in/gmDPgqZa #LifeAtMeta"
139,The pandemic forced us all to rethink our approach to work-life balance and many of us are still trying to reestablish those boundaries several years later. Kathleen Hogan outlines several ways leaders and organizations can encourage teams to take time to recharge in her latest Fast Company article. Be sure to check it out to learn how you and your team can help combat burnout. https://lnkd.in/gPrpep_U #HumanEnergyCrisis #FutureofWork
140,Making online learning more interactive with our polls feature!Download now: https://lnkd.in/dVUpnP7C..........#LMSplatform #elearning #onlinetraining #distancelearning #educationtechnology #virtuallearning #blendedlearning #edtech #remotelearning #learningmanagement #learningmanagementsystem #onlineeducation #digitallearning #classroomtechnology #educationsoftware #elearningplatform #teachonline #teachingtools #teacherresources #edutech
141,Hey connections !!I am thrilled to share that I have completed Task-3(Level-2) of Web development and designing Internship at Oasis Infobyte.Task-3 : A basic To-do WebappGitHub repo link: https://lnkd.in/dKjG4Rta  #webdevelopment #internship #oasisinfobyte
142,"Bring your imagination to life with #AdobeFirefly. ✨ Join Paul Trani and Samantha Warren today, March 30th at 12PM PST. We're counting on you to bring your best prompts to the table! Tune into the live event here: https://adobe.ly/40FPbpq"
143,"The holy place of Amarnath!The holy shrine of Amarnath Temple, is located at an elevation of 3,888 meters approx, about 29 kilometers from Pahalgam. Inside the cave is a Shiva Lingam made of ice considered to be the most holy symbol by devotees all across the globe. Devotees visit it in large numbers from June to August, with the pilgrimage tour famously known as Amarnath Yatra, which begins from Chandanwari. It is considered to be one of the 18 Maha Shakti Peethas, or the holiest shrines in Hinduism. The place where the Amarnath Cave stands today is the same place where Lord Shiva explained the meaning of life and eternity to his consort & wife, Goddess Parvati. Bhrigu Muni, a famous sage in Hinduism, was the first person to have discovered this holy site. At that time, the entire Kashmir Valley was submerged under water, and Kashyap Muni, another powerful sage, drained the waters with his divine powers. As the waters cleared, Bhrigu Muni was the first person to have the site of the Shiva Lingam.In 1989, pilgrims numbered between 12,000 and 30,000. In 2011, the numbers reached a peak, crossing 6.3 lakh (630,000) pilgrims. In 2018 pilgrims numbered 2.85 lakh (285,000). The annual pilgrimage has varied between 20 and 60 daysThank you for sharing Gauranga Das #india #lordshiva"
144,"BCrypt India WEB 3.0 Week 2023! An event that brings together influencers, entrepreneurs, investors, and developers to foster the adoption of cutting-edge technologies such as NFTs, blockchain, crypto, metaverse, and DeFi. Don't miss out on this opportunity to be at the forefront of the Web3 revolution!#event #blockchain #entrepreneurs #appinventiv"
145,Page Object Model (POM) - Why and When Should You Use It? https://hubs.la/Q01GFSw70#testing #selenium #pom
146,"Hello connections, I'm glad to share the certificate of completion as I have successfully completed the 'Campus Ambassador' program at TRYST, IIT Delhi.I also wish to thank and appreciate everyone's support! Celebrating my new certification!"
147,It was a pleasure to have #ceo  and #founder  of #Geometa software company at #kiet  Group of institutions. What was more exciting is providing him the insights into #center #for #automotive #mechatronics #adam and how #engines  & transmissions works. Sharing knowledge has always being a key component of growing and it is a privilege to exchange knowledge with such briliant minds. #software #automobileindustry #mercedesbenzindia #9gtronic #M264#germantechnology #euro5 #9speed #transmision
148,How Edvora boosts productivity and streamlines better management. Download now : https://lnkd.in/dVUpnP7C.....#EdTech #LMS #LearningManagementSystem #OnlineLearning #VirtualLearning #eLearning #DistanceLearning #EducationTechnology #EducationInnovation #DigitalLearning #InteractiveLearning #ClassroomTechnology #learningtools #TeacherTools #EducationSoftware #eLearningSoftware #SaaS #EdTechSolutions #LearningSolutions #explorepage #explore #reelsinstagram #makeinindia🇮🇳
149,"#SatyaVachan - Tripple Bonanza Day! Some days are just too good & special and yesterday was one such!Firstly it felt surreal to get back to the *arena* and get high on the majestic views of #Wankhede & the energy of the lovely crowd… oxytocin / dopamine double shots together :) Everytime you are backed at Wankhede, you go back recharged and renewed. Secondly & most importantly, I was so excited about the #Brands associated with match…I remain ever grateful to #Jio for changing the digital diaspora of the country and #reliancejio for their association with #mumbaiindians & Sports in India in general. Also, proudly displaying on the signage’s were other brands we all use daily and dearly love - #paytm, #dream11, #tataneu…this was a big #fanboymoment - I feel so humbled and proud that I work for an organisation that is common to all these iconic #brands and is in its unique way has been enabling these brands to discover and rediscover their love for their most important stakeholders - their customers…#CleverTap is on a mission to help brands know their loved ones really well and engage with them purposefully and meaningfully! And I was elated to be amongst so many #CleverTapInside brands last evening. Our love & gratitude to all these icons for giving us a chance to be a part of their #digitalindia journey :)Finally, as it’s said “Habits makes a man (a woman too)”… Yesterday was also about rediscovering the art of singing (karaoke rather)…my first karaoke in my life time so far! Guess I was getting ready for the #bigleap moment in the evening (link in the comment section & some #encouragement to this rookie singer will go a long way to establish the habit 🙂)…#CleverTap #Jio #paytm #dream11 #mumbaiindians #chennaisuperkings #customerengagement"
150,"Hello Connections!Much privileged to share with you all that I was awarded a cash reward instituted in the name of  ""Prof. V. Rajaraman's Computer Science and Engineering Award"" for the Best Outgoing Student of BE CSE stream on Tech Day 2023.I take immense pride in receiving such recognition for my engagement in academics, extra-curricular and co-curricular activities during my course of study!I would like to thank my family, faculties from the department and my fellow mates for their continuous support and encouragement without which this wouldn't be possible.I take it as a motivating factor and would continue to pursue my endeavours with great efforts to sustain this name in my career!#psgtech #cse #techday"
151,"Adobe Firefly Beta is out now. Pushing Imagination and Innovation to new limits 😍 #adobefirefly #generativeai #adobesummit  #adobelife #adobegenaiThe Command I gave ""Husky holding ak47 in a nightclub and eating samosa"" 😅"
152,What's your approach to networking in the world of work? Neha Datta is here with her top tips. #Networking
153,"Nandita Kochal, Senior Portfolio Manager at Millennium, reflects on the aspects of her job that energize and excite her. https://lnkd.in/e7GvQwmx"
154,"Women make up approximately 45% of gamers in Asia and the number is growing. As we look for new growth engines in 2023, female gamers play a significant role, if businesses are equipped with the right insights to penetrate this new group of customers.Read more from Pooja S., Head of Sales, SEA: https://bit.ly/427fGFY"
155,"“I have dyslexia and autism. It’s something that’s not obvious to others, but it’s significantly important,” shares Andrew S., a manager on the Workplace team at Meta. “Our head of diversity and inclusion always asks, ‘How are we going to build products for everyone if we don’t have representation from everyone?’ This includes autistic people. At Meta, we’re focused on representation and building products to serve all of the people who use our products and services. That’s really important to me.” https://lnkd.in/eeeez5Aq #LifeAtMeta #AutismAcceptanceMonth"
156,Demetrios Marantis explains why making a positive impact is directly tied to the success of our business.
157,"Jon Foreman discovered land art while in college and immediately fell in love with it. He felt that the natural world had more in it to be explored, particularly where he lives, Pembrokeshire, Wales.Since the area has an extensive coastline, a huge part of Foreman's work revolves around the stones he finds near the sea. Using everything from tiny pebbles to big rocks, the artist surprises beachgoers with mesmerizing arrangements that never cease to amaze.""I create using many natural materials but stone has proven to be the material which I can manipulate best. Be it color, angle, shape, size, placement, spacing,"" Foreman said. ""Typically, I either start with a rough idea of what I'd like to do or no idea whatsoever! Then I collect what I can carry and start by placing stone by stone, steadily losing myself in the process and disconnecting from the stress of everyday life."" #art #design #work #artist #photography #creative #stone"
158,"We are delighted to share that Infosys has been awarded the MuleSoft India Practice Development Partner of the Year 2023. In the last year, we have scaled our team of #MuleSoft experts through training and certification programs to drive customer growth, and deliver business outcomes for our clients. bit.ly/3KcrLBD#InfosysCobalt #InfyEAIS"
159,"Did you know that the top type of OT incident experienced in the healthcare industry is phishing emails aimed at penetrating systems? 📈 According to recent stats, 37% of OT incidents were caused by phishing emails.😱 If you're concerned about the OT Security in the healthcare industry, you must read our latest blog ""Securing the future of healthcare: Safeguarding medical devices through OT security"".🔒👀 In this blog, we discuss how implementing OT (Operational Technology) security measures can help in securing medical devices and ensure the safety and protection of health information (PHI) at risk of exposure,. 🚨💻By implementing OT security measures, healthcare providers can protect their medical devices against cyber-attacks and unauthorized access.🛡️🔐 Stay informed and stay ahead of potential cyber threats in the healthcare industry!Check out our blog now!👉 https://lnkd.in/gHT_AMq8#cybersecurity #healthcare #OTsecurity #medicaldevices #privacy #phishing #cybersecurity #cloudsecurity #logmanagement"
160,The source of wisdom .
161,"The next Security and Observability webinar is around the corner🔥Join us on Thu, 6th April at 12 PM IST / 02:30 PM SGT to learn how to take control of your security and observability dataYour host:Samson Samuel, Director- Security analytics, PositkaMeeran Mohaideen, (SIEM / SOAR) Solution Architect, PositkaBoth Cybersecurity genius had held multiple successful webinars on security and Observability.Learn more and register here: https://lnkd.in/gKGKEbDT#siem #soar #cribl #observability #cybersecurity #cloudsecurity #mssp #webinar"
162,"The global average cost of a data breach is US$4.35 million - IBM’s cost of a data breach report 2022. The amount is enough to leave a massive dent in your business's bottom line. Here MSSP comes to the rescue and helps you reduce the cost of data breaches. How? Read this super insightful blog by Sayali Dange to learn more: https://lnkd.in/d25_-Dtj When you read this blog, you will learn: ●     Cost factors of the data breach●     What are the different types of costs associated with data breaches?●     Five ways in which MSSP can reduce the cost of a data breach/ cost of an incident If you loved this blog, share it with your connection and comment your thoughts on it.Click the link below to know more about positka's mssp offerings👇https://lnkd.in/gfvBuaPiClick the link below to read IBM’s cost of a data breach report 2022.👇https://ibm.co/3n6fNSf #cybersecurity #ibm #splunk #ciso #cloudsecurity #infosec #appsec #cyberattack #ransomware #mssp #soc"
163,Hello connections!Excited to receive my participation certificate in Innovative Idea for KIET Innovation Day Challenge. Grateful for the opportunity to learn and grow in this field. #innovation #opportunity
164,Do you think your current security strategy/team can beat the upcoming threats? Think once again. Cybersecurity threats are increasing exponentially even faster than the enhancements enterprises are making.  That's alarming 🚨 How to boost your current security capabilities? Answer: Hire a professional MSSP. Wish to learn more? Here you go:  https://lnkd.in/gbe2s8fa #mssp #cybersecurity #cloudsecurity #phishing #soc
165,"#hiring Dear Connections,We're hiring for the Sales department at PlanetSpark and we're looking for top talent to join our team! We currently have open positions for:Business Development Executive (BDE)Senior Business Development Executive (Sr. BDE)Assistant Manager (Individual Contributor) - AM (IC)Assistant Manager (Team Lead) - AM (TL)Business Development Manager (BDM)The ideal candidate for these positions will be a strong communicator with excellent English language skills, and should be able to join us immediately. The work location for these positions is in Gurgaon and it is a work-from-office profile.At PlanetSpark, we're passionate about providing high-quality education to children through our innovative online learning platform. Our sales team plays a key role in driving the growth of our business, and we're looking for talented and motivated individuals to help us achieve our goals.If you're interested in joining our team and making a positive impact on the lives of children, we encourage you to apply today! Please fill up the attached form to apply for the same.https://lnkd.in/gq8y3APbEven if you are not in requirement of a job, please share the post, this may help someone in need.#businessdevelopment #business #hiring #gurgaon #sales #education #growth #talent #freshers #layoffs #management Sarthak Garg Rohit Sharma Aayush Ahuja Deepti Y. Disha Vyas Bhavya Gururani Somya Godara"
166,"Familiar with security automation? You might have heard about Splunk SOAR!  Splunk SOAR is a security automation platform made for working smarter, responding faster, and modernising security teams. Interesting? Check out: https://lnkd.in/gSbzHaDV P.S - Splunk SOAR is formerly known as Splunk Phantom. #cybersecurity #splunk #mssp #cloudsecurity"
167,"Consistency is crucial for successful project completion. Data analysis can help project managers achieve consistency by providing insights into project performance and identifying areas for improvement. Here are some ways data analysis can help:1. Track and analyze project data: Use data analysis tools to track and analyze project data such as cost, schedule, scope, quality, and risk. This helps identify trends, patterns, and issues that affect project consistency.2. Identify areas for improvement: Analyze data to identify areas where improvements can be made to ensure consistent project performance. For example, investigate delays in project phases and implement corrective measures to improve the process.3. Predict project performance: Use data analysis to develop predictive models that forecast project performance and identify potential issues. This helps make informed decisions about resource allocation, scheduling, and risk management.4. Benchmark project performance: Compare project performance to industry standards or best practices to identify areas for improvement and implement best practices to achieve consistency.In conclusion, data analysis is critical for achieving consistency in project management. By using data analysis tools and techniques, project managers can gain insights, identify areas for improvement, and implement corrective measures for consistent project outcomes.#data #dataanalysis #project #projectmanagement #quality #help #projectmanagers #projectmanagers #riskmanagement"
168,India ❤️ chatting with the new Bing chat! https://lnkd.in/gKKqCYpw #india #bing #bingchat #chatgtp #chatgpt4
169,"Hello everyone!!!I am extremely interested to share that i had  decided to develop a Lego game which was recommended by one of my friend who was interested in playing Lego games and other stuff. Developing a Lego game was challenging for me as i haven't experienced this type of project before and being a newbie at game development it was so complex for me to even place the objects,assets and render the Game environment.By slowly and steadily doing the things i was understanding the complexities that i was going through while developing a Lego game.I experienced a lot of bugs and error during this particular project but i was consistently working on the issues that occured.As i was running an older version of Unity engine which made it so complex for me to build and run my project.But, however during this project i fixed 46 bugs that occured during the process and worked until i got satisfaction on that...Here are the snippets of the Lego Game that i developed using Unity engine though it may be small game but i learnt a lot while building this project like; Have patience,believe in your self, always try to learn and explore new things.Thank you !!!🔰 #gamedesign #gamedev #gamedevelopers #augmentedreality #virtualreality #unity #blender3d #softwaredevelopment #applicationdevelopment #gamedevelopment #project"
170,Hello there! Are you looking for your next best opportunity in Software Testng and Test automation? We're hiring at #siemensadvanta. Explore your opportunities here: https://sie.ag/40Ubmsl #softwarejobs #softwaretesting #siemens #hiring #jobs
171,"Hola folks,Delighted to share that I have been promoted to BETA Microsoft Learn Student Ambassadors and received Beta Swag Kit from Microsoft.Being a Student Ambassador gives us the experience of working with a team, connects us with other students and Microsoft employees, and equips us with leadership skills.Looking forward to this new journey, exciting possibilities, and being a force for good-locally and globally.#microsoft #mlsa"
172,"Happy Easter from Microsoft to all who are celebrating.  This month, as Ramadan, Passover and Easter coincide, I’m grateful for the diversity we have at Microsoft, where we can come together and celebrate our different religions and cultures. As we hop into a long Easter weekend, I wish everyone a joyful and restful holiday with their loved ones."
173,Most important feature of JavaScript is that it runs in browser and used in most of development now ❤️Same with python is also the most popular and widely used language 🐍I think most college teaches C language in First sem  it should be replaced by JavaScript and python 🎒#college #language
174,"Explanation Link: https://lnkd.in/diJ7GdxUIf you guys find this helpful then don't forget to like it and share it with your friends so that it will motivate me to create more stuff like this. ✅~ Happy Coding 👽For more stuff, follow: Anuj Saklani 🔼 #coding #share #like #leetcode #geeksforgeeks #cfbr #share #linkedin #commentforbetterreach #linkedinpost #linkedincommunity #react #c++ #cp #codeforces #codechef #java #c# #python #webdevelopment #softwareengineer #sde #faang #google #codingninja"
175,Great results!!!!!  And the best is yet to come!
176,Hello connections!I feel delightful to announce that I have succesfully completed course on INTRODUCTION TO NETWORKS and recieved  my certification in @CCNAv7 with @cisco networking academy. This course has worked as a building block of my cyber networking career.The course taught me how the digital networks are built and how are they maintained. How the end to end connectivity between remote devie=ces is confugured and how the various layers of OSI model support network applications.#cybersecurity #share #cisco #ccna #ccnav7 #training #cyber #networking
177,Day-100:Done with Heaps.#programming #code #day100 #100daysofcode #100daysofcodechallenge
178,If you are a full-stack developer there was no better time to build AI SaaS!But how do you find ideas with potential?Here is my writeup:https://lnkd.in/gkD6Q7HH#artificialintelligence #ai #promptengineering #openai
179,"Hey connections✨""Thrilled to announce that our team #VHack victory at Ecopreneurs 2.0 - Stride for Sustainable Resolutions! We're proud to have secured #SECOND place in this case-study competition organized by SCEE and Innova-DTU as part of Invictus 2023. Our team's dedication towards sustainability and innovative solutions has paid off.""The competition was fierce, but our team rose to the challenge and worked tirelessly to come up with innovative solutions that can contribute to a more sustainable future.""Our success in this competition is a testament to the power of teamwork and collaboration. We couldn't have done it without the hard work and dedication of each and every member of our team.""Congratulations to the whole team for their hardwork and dedication (Piyush Sharma Sampada Gupta Khushi Sachdev ). #sustainability #team #success"
180,"For this month's Customer Highlight, we're shouting out Duke's Slickrock Campground & RV Park. Duke's RV Park is a mini oasis in the Southern Utah desert and is the perfect place to use as a base camp for adventures to many of the local attractions. Guests utilize Duke's RV Park for one night stopovers as well as weeks full of exploration!Kailee from Duke's RV Park told us, ""innRoad has great technical support, if we have any issues. It's easy to navigate & find what you need. We really like the simplicity of being able to book and cancel reservations from one place.""We're so glad to have you as a customer! #propertymanagementsystem #hotelmanagementsoftware #pms #rvpark #campground"
181,Under the watchful eye of Abraham Lincoln.Discussion about opportunities and risks of #AI with the President.https://cnb.cx/3GdVHfq
182,"Are you ready for the new era of content creation? With the advent of generative AI, the traditional roles of creator and editor have been flipped on their head. No longer are humans solely responsible for generating content, as AI can now take the reins and create beautiful and cohesive work from scratch. To see how people across Microsoft are leveraging this powerful technology to streamline their workflows, check out this fascinating article. Discover how generative AI is changing the game and transforming the future of content creation. #generativeAI #contentcreation #Microsoft"
183,"Today we announced another big example of using GPT4 to solve real problems, this time focused on cyber security. One consistent thread in the way we've been talking about AI is the role each of us plays -- we are in charge, and the AI is helping, thus the ""Copilot"" naming. This simple naming/metaphor has been really helpful in putting all this new technology into the frame of ""tools helping."""
184,Flying in the Sky.It’s really unbelievable a small Baby flying with her mother.please Noted this: This Pictures i collect from online and post this. If any mistake from me please forgive me 🙏🙂
185,"From 2 LPA ⏩ 45+ LPA 🔥This is the story of Dolly Vaishnav who cracked 6 offers in this current layoffs period and finally landed at Cisco.She started her journey from a startup in Hyderabad and worked on Machine learning . She felt stuck there, and wanted to switch to an SDE Role started studying and cracked Ola. During the Layoffs time things were not going as expected, started perparing again and cracked Cisco along with 5 other companies.Many students are facing problems in job hunting due to possible recession and funding winter among startup, so this was the right time to get a person like Dolly on my channel and share her story with everyone else.We discussed everything from her preparation strategy to hunting for job in this podcast and it will be definitely helpful for you if you are looking to land your next job Checkout the link in comment section ⬇️#softwareengineers #coding"
186,"Hiring for my team a couple of key roles -* Lead Software Engineer (VP) in Hyderabad.* Lead Test Automation Engineer (VP) in Mumbai.Anyone interested or any leads, please DM me."
187,"𝐅𝐫𝐞𝐞 𝐑𝐞𝐬𝐨𝐮𝐫𝐜𝐞𝐬 𝐭𝐨 𝐋𝐞𝐚𝐫𝐧 𝐊𝐮𝐛𝐞𝐫𝐧𝐞𝐭𝐞𝐬 𝐢𝐧 𝟐𝟎𝟐𝟑 !!!1. Introduction to Containers, Kubernetes, and OpenShift V2👉 https://lnkd.in/gEbkXak32. Getting started with Microservices with Istio and IBM Cloud Kubernetes Service👉 https://lnkd.in/gWBuaz4k3. Beyond the Basics: Istio and IBM Cloud Kubernetes Service👉 https://lnkd.in/g-wS7D5m4. Create and Deploy Your First Kubernetes Pod👉 https://lnkd.in/gMAutqtD5. Configuring microservices running in Kubernetes👉 https://lnkd.in/gjcZ92nJ6. Containerizing and running Java microservices in Docker containers👉 https://lnkd.in/gtfJEsgk7. Deploying microservices to Kubernetes👉 https://lnkd.in/gcg7MT368. Scaling and Updating Applications with Kubernetes👉 https://lnkd.in/gKcBGi-V9. Deploying a Docker Image to a Kubernetes Cluster👉 https://lnkd.in/gFqX9wfP10. Managing Cloud Native Applications on Kubernetes👉 https://lnkd.in/gSX_DkNSFollow Aakash K. for more.𝐉𝐨𝐢𝐧 𝐦𝐲 𝐓𝐞𝐥𝐞𝐠𝐫𝐚𝐦 𝐂𝐡𝐚𝐧𝐧𝐞𝐥 𝐟𝐨𝐫 𝐟𝐫𝐞𝐞 𝐫𝐞𝐬𝐨𝐮𝐫𝐜𝐞𝐬 𝐨𝐧 𝐩𝐫𝐨𝐠𝐫𝐚𝐦𝐦𝐢𝐧𝐠 😀 :https://t.me/codingplaza#java #microservices #kubernetes #cloud #docker"
188,Are you managing your stress? Just add a few more hours to your day!🌁#polloftheday #stressmanagement
189,Super awesome to have worked with LinkedIn on this campaign! More to come  👀 ⚡️
190,"Try it 😁If you're searching for great placement resources, you have to see what Aman Kumar Sah's profile has to offer.. 📌 SAVE THIS POST FOR EASY ACCESS📌 LIKE THIS SO THAT IT CAN REACH AND HELP MORE PEOPLE"
